instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
488,4901,3369,68.74,0.012428
489,11043,7774,70.4,0.009037
490,8212,5685,69.23,0.002889
491,8007,6350,79.31,0.087311
492,3701,2504,67.66,0.007056
493,7585,5450,71.85,0.005498
494,6785,4333,63.86,0.006103
495,4088,3094,75.68,0.005576
496,18824,13524,71.84,0.08961
497,3470,2754,79.37,0.009225
498,10652,6942,65.17,0.011378
499,6966,4749,68.17,0.00394
500,8352,5193,62.18,0.005013
501,30997,21537,69.48,0.086478
502,5522,3672,66.5,0.0062
503,12818,10127,79.01,0.034041
504,7962,6064,76.16,0.006205
505,4542,3259,71.75,0.009174
506,8236,5480,66.54,0.002996
507,7325,5855,79.93,0.088251
508,9251,7099,76.74,0.034674
509,948,699,73.73,0.00981
510,24120,18287,75.82,0.086862
511,9592,7031,73.3,0.087958
512,20494,15122,73.79,0.034021
513,8459,6585,77.85,0.012479
514,2734,1791,65.51,0.009237
515,6143,4436,72.21,0.00688
516,3712,2602,70.1,0.003657
517,11598,8385,72.3,0.006784
518,9913,6524,65.81,0.006166
519,1401,905,64.6,0.003848
520,5780,4381,75.8,0.088637
521,1122,1001,89.22,0.036406
522,11633,7479,64.29,0.006375
523,5309,3200,60.28,0.003668
524,2402,1647,68.57,0.003748
525,1703,1160,68.12,0.006492
526,8657,5817,67.19,0.006526
527,5500,3628,65.96,0.00482
528,7701,5479,71.15,0.03454
529,1450,1152,79.45,0.009786
530,5224,4028,77.11,0.009093
531,8187,5732,70.01,0.004546
532,8344,5530,66.28,0.002724
533,11166,8939,80.06,0.005608
534,11010,7758,70.46,0.007067
535,1721,1231,71.53,0.013064
536,8148,5936,72.85,0.009252
537,736,571,77.58,0.013313
538,9067,6270,69.15,0.00613
539,608,502,82.57,0.005858
540,3207,2034,63.42,0.003983
541,28931,20472,70.76,0.08696
542,6209,4586,73.86,0.006452
543,8052,5717,71.0,0.004555
544,7372,4902,66.49,0.004557
545,3842,2582,67.2,0.003795
546,18860,13245,70.23,0.087293
547,7303,4949,67.77,0.007212
548,4247,3706,87.26,0.088956
549,8849,6668,75.35,0.012575
550,18524,13813,74.57,0.033882
551,8888,5441,61.22,0.004979
552,4207,2840,67.51,0.002748
553,10431,6882,65.98,0.004824
554,1793,1358,75.74,0.006366
555,4464,3421,76.64,0.034772
556,3621,2484,68.6,0.006591
557,1239,972,78.45,0.005695
558,11761,8473,72.04,0.009162
559,8772,6113,69.69,0.004574
560,7379,4716,63.91,0.00383
561,2817,1742,61.84,0.003824
562,7947,6124,77.06,0.007111
563,2280,1706,74.82,0.006613
564,4072,2847,69.92,0.006281
565,1500,1100,73.33,0.007271
566,4807,3436,71.48,0.005583
567,6821,5185,76.02,0.006393
568,758,590,77.84,0.013146
569,6865,4901,71.39,0.009304
570,1617,1147,70.93,0.007011
571,3388,2014,59.45,0.003732
572,6784,4852,71.52,0.009164
573,18579,14330,77.13,0.086504
574,3329,2490,74.8,0.004712
575,3865,2714,70.22,0.004
576,1198,918,76.63,0.006975
577,14760,11158,75.6,0.03399
578,5134,3607,70.26,0.003082
579,15578,11472,73.64,0.03372
580,26604,21582,81.12,0.086155
581,569,475,83.48,0.005856
582,12161,9024,74.2,0.015477
583,11597,8188,70.6,0.007571
584,7818,5636,72.09,0.004004
585,8261,5801,70.22,0.011805
586,1920,1376,71.67,0.013419
587,3642,2742,75.29,0.012949
588,7276,5086,69.9,0.002879
589,3243,2449,75.52,0.005575
590,8919,6088,68.26,0.007609
591,545,430,78.9,0.004095
592,9968,6372,63.92,0.003673
593,14565,11625,79.81,0.087413
594,1222,936,76.6,0.006988
595,10049,6376,63.45,0.00677
596,4750,3387,71.31,0.006982
597,7569,4792,63.31,0.004078
598,10908,6554,60.08,0.006057
599,3908,2640,67.55,0.006402
600,5306,3597,67.79,0.012462
601,8596,5771,67.14,0.003664
602,6278,4442,70.76,0.00625
603,10707,6531,61.0,0.004545
604,7848,5092,64.88,0.003941
605,9861,7224,73.26,0.00923
606,2081,1466,70.45,0.006329
607,1652,1114,67.43,0.003721
608,7825,5645,72.14,0.003018
609,1012,674,66.6,0.003381
610,4388,2854,65.04,0.004994
611,16500,12547,76.04,0.087048
612,1512,1018,67.33,0.002796
613,11054,8204,74.22,0.034165
614,20906,16063,76.83,0.033929
615,8680,5587,64.37,0.003729
616,12799,8475,66.22,0.012576
617,10992,6873,62.53,0.012499
618,19437,12925,66.5,0.033969
619,9349,6180,66.1,0.003655
620,1981,1368,69.06,0.006289
621,9108,6646,72.97,0.012559
622,14464,11414,78.91,0.012324
623,5200,3645,70.1,0.005829
624,26132,19223,73.56,0.086738
625,5970,4549,76.2,0.08885
626,11029,7117,64.53,0.006779
627,6619,4446,67.17,0.006877
628,11053,8123,73.49,0.034019
629,4121,2771,67.24,0.003032
630,2812,1913,68.03,0.004601
631,5965,3876,64.98,0.006162
632,8255,5860,70.99,0.003713
633,10861,7577,69.76,0.006594
634,13110,9509,72.53,0.012708
635,4745,3387,71.38,0.002776
636,1265,973,76.92,0.007218
637,5083,3123,61.44,0.003353
638,18549,12985,70.0,0.034266
639,10553,6969,66.04,0.006566
640,9242,5351,57.9,0.002788
641,2324,1934,83.22,0.00652
642,2580,1866,72.33,0.003624
643,7841,6216,79.28,0.006773
644,14169,9932,70.1,0.01314
645,7225,5221,72.26,0.006963
646,9679,7126,73.62,0.03443
647,2220,1672,75.32,0.005959
648,12834,9829,76.59,0.033794
649,970,818,84.33,0.013121
650,1702,1385,81.37,0.092127
651,3379,2550,75.47,0.006908
652,9396,6739,71.72,0.005546
653,21459,17211,80.2,0.033881
654,13519,8167,60.41,0.009181
655,23820,18073,75.87,0.086634
656,6215,5258,84.6,0.005862
657,2063,1447,70.14,0.006347
658,15135,11160,73.74,0.033861
659,28999,23103,79.67,0.086515
660,5271,3218,61.05,0.003802
661,5357,3701,69.09,0.002933
662,17756,14135,79.61,0.033744
663,437,361,82.61,0.005936
664,1270,780,61.42,0.002828
665,2782,1889,67.9,0.004647
666,6671,4429,66.39,0.012652
667,6529,4549,69.67,0.012482
668,10339,7656,74.05,0.009193
669,9331,6122,65.61,0.005797
670,6192,3911,63.16,0.002739
671,4388,3101,70.67,0.013479
672,9688,6473,66.81,0.012441
673,13296,9981,75.07,0.034028
674,12605,9128,72.42,0.012728
675,3359,2024,60.26,0.00414
676,634,497,78.39,0.004823
677,1905,1449,76.06,0.004577
678,18456,12636,68.47,0.086747
679,10647,6821,64.06,0.009229
680,9351,6652,71.14,0.005628
681,20887,15599,74.68,0.033928
682,10801,6999,64.8,0.006904
683,614,523,85.18,0.010042
684,2320,1667,71.85,0.005734
685,9632,7508,77.95,0.012383
686,1703,1302,76.45,0.005899
687,3961,2288,57.76,0.003892
688,8683,6093,70.17,0.004866
689,7968,5227,65.6,0.004514
690,7150,5065,70.84,0.007861
691,1397,1037,74.23,0.006966
692,2548,1861,73.04,0.01295
693,3045,2174,71.4,0.006998
694,9686,7287,75.23,0.087502
695,5907,4164,70.49,0.012638
696,5285,3304,62.52,0.002788
697,10709,7162,66.88,0.006821
698,11427,8856,77.5,0.034754
699,11474,8045,70.12,0.009082
700,11340,8049,70.98,0.005586
701,2622,1777,67.77,0.006269
702,9703,6828,70.37,0.004848
703,12148,8593,70.74,0.034621
704,30580,23290,76.16,0.086167
705,2875,2033,70.71,0.004846
706,2629,1665,63.33,0.002886
707,868,633,72.93,0.002845
708,8928,6371,71.36,0.009066
709,6855,4874,71.1,0.00271
710,9203,6561,71.29,0.004832
711,13817,9869,71.43,0.034092
712,3989,2745,68.81,0.006401
713,6997,5018,71.72,0.005572
714,8178,5749,70.3,0.005571
715,3041,2376,78.13,0.0391
716,11360,9376,82.54,0.006984
717,28339,22157,78.19,0.08638
718,6061,4296,70.88,0.005935
719,855,674,78.83,0.009946
720,7179,4337,60.41,0.003615
721,5349,4158,77.73,0.006168
722,2341,1484,63.39,0.005511
723,13957,9809,70.28,0.08702
724,20808,14411,69.26,0.086545
725,4912,3257,66.31,0.003788
726,6494,4889,75.28,0.004665
727,2998,2288,76.32,0.034767
728,7878,4799,60.92,0.003891
729,13474,9391,69.7,0.033725
730,12973,9697,74.75,0.009245
731,3959,2925,73.88,0.003142
732,4319,3001,69.48,0.004554
733,6546,5413,82.69,0.034303
734,8691,6608,76.03,0.087839
735,10184,7280,71.48,0.087675
736,7073,5373,75.96,0.005587
737,7094,4845,68.3,0.002746
738,7578,4889,64.52,0.004752
739,8430,5511,65.37,0.00658
740,5376,3847,71.56,0.009756
741,3873,2742,70.8,0.009292
742,11868,7420,62.52,0.006992
743,6765,4248,62.79,0.003809
744,7255,4656,64.18,0.005649
745,11679,8020,68.67,0.005848
746,3878,2673,68.93,0.005638
747,3660,2354,64.32,0.003818
748,16215,12595,77.67,0.033959
749,5411,4394,81.2,0.088643
750,12301,8164,66.37,0.005962
751,6588,4701,71.36,0.009214
752,2641,2139,80.99,0.005726
753,5155,3444,66.81,0.009042
754,12900,9613,74.52,0.00908
755,20258,14198,70.09,0.087069
756,1090,689,63.21,0.002947
757,26414,18451,69.85,0.087146
758,6120,4429,72.37,0.004735
759,5106,3775,73.93,0.007272
760,25784,18450,71.56,0.087314
761,1703,1254,73.63,0.012888
762,5033,3652,72.56,0.006781
763,9467,6418,67.79,0.004662
764,9188,6255,68.08,0.005661
765,1089,798,73.28,0.00704
766,3734,2724,72.95,0.006114
767,10255,7680,74.89,0.006101
768,4166,3004,72.11,0.006748
769,29791,22928,76.96,0.086956
770,11080,7253,65.46,0.012539
771,2594,1846,71.16,0.006253
772,3513,2375,67.61,0.002727
773,748,617,82.49,0.007087
774,9289,6799,73.19,0.007235
775,1435,1089,75.89,0.005987
776,699,517,73.96,0.002875
777,520,434,83.46,0.009921
778,3997,2479,62.02,0.002773
779,7520,5134,68.27,0.006108
780,3352,2198,65.57,0.002778
781,1335,926,69.36,0.004696
782,26715,18895,70.73,0.099413
783,488,417,85.45,0.007375
784,1674,1014,60.57,0.003792
785,8850,6169,69.71,0.00919
786,2796,2031,72.64,0.006854
787,1117,733,65.62,0.006437
788,6759,4737,70.08,0.004594
789,1547,1112,71.88,0.007498
790,6034,4251,70.45,0.007099
791,3981,3051,76.64,0.044344
792,4096,2887,70.48,0.006038
793,3956,2956,74.72,0.01363
794,2704,1845,68.23,0.007025
795,7605,5148,67.69,0.00963
796,12275,9476,77.2,0.087657
797,14535,9149,62.94,0.009266
798,5650,3491,61.79,0.002748
799,12599,8117,64.43,0.005551
800,5175,4032,77.91,0.041245
801,6085,3884,63.83,0.003975
802,24069,16983,70.56,0.106379
803,8528,5702,66.86,0.012882
804,1534,1171,76.34,0.006904
805,3863,2425,62.78,0.003679
806,6999,5188,74.12,0.005658
807,6590,4173,63.32,0.002801
808,5646,3545,62.79,0.006449
809,16491,13409,81.31,0.034166
810,1773,1199,67.63,0.003855
811,2989,1859,62.19,0.003697
812,3285,2088,63.56,0.0065
813,11286,7871,69.74,0.014498
814,3705,2740,73.95,0.012576
815,7372,4948,67.12,0.006136
816,10454,7738,74.02,0.034139
