instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
756,1071,689,64.33,0.000308
757,26414,18451,69.85,0.003407
758,6129,4429,72.26,0.000389
759,5102,3775,73.99,0.000497
760,25572,18450,72.15,0.00343
761,1754,1254,71.49,0.001027
762,5033,3652,72.56,0.000486
763,9467,6418,67.79,0.000412
764,9271,6255,67.47,0.000577
765,1087,798,73.41,0.000492
766,3788,2724,71.91,0.000507
767,10255,7680,74.89,0.000529
768,4198,3004,71.56,0.000494
769,30139,22928,76.07,0.00342
770,11080,7253,65.46,0.001018
771,2599,1846,71.03,0.000514
772,3513,2375,67.61,0.000287
773,767,617,80.44,0.000487
774,9289,6799,73.19,0.000483
775,1422,1089,76.58,0.000563
776,707,517,73.13,0.000313
777,534,434,81.27,0.000641
778,4034,2479,61.45,0.000295
779,7604,5134,67.52,0.000513
780,3248,2198,67.67,0.000293
781,1337,926,69.26,0.000388
782,26774,18895,70.57,0.003611
783,490,417,85.1,0.000503
784,1674,1014,60.57,0.000376
785,8850,6169,69.71,0.000659
786,2821,2031,72.0,0.000489
787,1120,733,65.45,0.000517
788,6759,4737,70.08,0.000377
789,1553,1112,71.6,0.000484
790,6034,4251,70.45,0.000503
791,4004,3051,76.2,0.001431
792,4184,2887,69.0,0.000388
793,4007,2956,73.77,0.001032
794,2704,1845,68.23,0.000528
795,7605,5148,67.69,0.000656
796,12484,9476,75.91,0.003469
797,14535,9149,62.94,0.000678
798,5650,3491,61.79,0.000288
799,12599,8117,64.43,0.000573
800,5234,4032,77.03,0.001409
801,6253,3884,62.11,0.000379
802,24069,16983,70.56,0.003466
803,8528,5702,66.86,0.001061
804,1581,1171,74.07,0.000507
805,3894,2425,62.28,0.000386
806,6999,5188,74.12,0.00058
807,6590,4173,63.32,0.000308
808,5528,3545,64.13,0.000536
809,16491,13409,81.31,0.001386
810,1794,1199,66.83,0.000388
811,2989,1859,62.19,0.000407
812,3285,2088,63.56,0.000533
813,11286,7871,69.74,0.00107
814,3723,2740,73.6,0.001073
815,7372,4948,67.12,0.000572
816,10646,7738,72.68,0.001378
817,7888,5066,64.22,0.000407
818,868,565,65.09,0.000409
819,2247,1623,72.23,0.000661
820,10949,7857,71.76,0.000488
